,ItemId,GoodSliderMean,GoodSliderDev,Connective.x,PairType.x,ResponseInitial.x,Phrase.x
658,ab5810d83f23243ddce713ac23d775cd,1,NA,so,P1_P2,false,"Sorry for the length of the post, but I hope it helps you understand why I oppose capital punishment."
871,e0a35a65ce12b2457e8ff1f9b8cec749,1,0,no_connective,P1_P2,true,I am all for the death penalty.
931,f16863ac9454707946061848c7e9a3e5,1,0,no_connective,P1_P2,true,I am pro death penalty.
936,f1f99c6b1f3f14025a3c01cb8a13b10b,1,NA,no_connective,P1_P2,false,"I can't believe that you just said ""So what if Jesus said....?"""
11,029bc4e01ac943f87837556b32d5627a,0.999,0.0014142136,so,QR,false,So what does he have to do with a debate like this about murderers and the death penalty?
801,d21dafa7cf73cd1022682398f2c5b6d9,0.9905,0.0126622799,no_connective,P1_P2,false,i am against the death penalty for moral reasons.
528,8aa588ec2915171df11bec7942d877ae,0.9752,0.0366019125,no_connective,P1_P2,true,The main reasons I oppose the death penalty are: #1) It is permanent.
394,6a1170b0d57d461d7a02b4ba6dd41b83,0.9726,0.0447526536,if,P1_P2,true,"If it was your wife/daughter/mom etc. that was murdered and/or raped you would probably think different Sure, I would want whoever did it to be sentenced to death."
699,b5d6573c9b63f77cafe7ac426b6ca9b3,0.9716666667,0.0490747729,so,P1_P2,true,"So I'm completely up front about it, I am adamently opposed to the death penalty period."
197,36e8994ec38cff66546585f7d9302f2e,0.971,0.037255872,if,P1_P2,true,"If we continue to allow the death penalty, we are no better than the murderers and rapists that we punish with the death penalty."
873,e17794963ee389974d11d584f68455b0,0.97,0.023515952,but,P1_P2,true,But I am not for the death penalty.
279,4877593e5e52246a6dadb27e8a744d93,0.969,0.0236220236,no_connective,P1_P2,true,"Thistown~ I seem to be missing the time when ""Jesus Christ told us point blank that capitol punishment was downright evil."""
653,a9f444e090d42283aa74beaaefb30e17,0.969,NA,no_connective,P1_P2,true,In Matthew 12 the pharisees caught the disciples of Jesus breaking the Sabbath Day.
612,a05ca55e32dba66e7c0f522fa8d51df8,0.9682,0.0276441676,if,P1_P2,false,"If a dog bit a human, they would be put down, so why no do the same to a human?"
592,9b1241429e0dd70a18ff63ae90bfbc11,0.967,0.0571576766,so,P1_P2,true,So your argument is that if the death penalty was cheaper than life in prison it would have the advantage of being cheaper than life in prison.
906,eb413d59872a18d6c26652319e2801b7,0.9634,0.0327383567,first,P1_P2,false,"First, because the real facts about Death Penalty show it -from every single point of view-, as an ineffective, dangerous and extremely expensive method of punishment."
349,5c0bcf5a85f6ff9483facde7dad87787,0.96,0.0494974747,so,P1_P2,true,So what about murderers?
342,59011f2d0b3f774473ca58ed48684c02,0.9576,0.0770928012,if,P1_P2,true,"If you are going to make murder illegal, your government would be most hypocritical to allow the death penalty."
62,0f76fd8a9ac9180fcb56970d7f2e759a,0.953,NA,no_connective,P1_P2,true,"All~ For the time being, I've moved the Old Testament Law debate to a newly created thread, since this has become a thread about the Old Testament Laws in general, and not the death penalty in particular: http://www.youdebate.com/vBulletin/s...=1519#post1519 Others who wish to remain and debate the death penalty here are of course welcome to do so."
718,b98099071e3cc940c3368712c938e43a,0.9526,0.0628712971,no_connective,QR,false,"By killing a person who murdered someone, you are just doing the same thing you are punishing him/her for."
412,6d0f9d136dc4c825d9a0b1d8a83799d7,0.95,0.0664680374,if,QR,false,"If so, would you let someone that broke into your house kill your relatives in front of you?"
80,148281e495873af851ff46450725d8be,0.9468,0.0492412429,no_connective,P1_P2,false,Oh and the death penalty does not deter crime.
346,5badd39280debf15e68121d77ed70e34,0.946,0.0113137085,if,QR,true,"If you are going to argue for or against the death penalty, at least try to be a credit to the argument and present something that makes sense."
622,a333fff44b3ffa4469fb54b2711c6931,0.9446,0.0907733441,but,P1_P2,false,But I can't get past the fact that they'll be killed for killing someone else - it's hypocritical.
37,0888f0a78631b84f93870e1dbaec21f8,0.9436666667,0.0490951457,if,P1_P2,false,"If you judge someone to die because of your moral standards, how does that make you better than them?"
2,00e70da649d8bb619a77cebb149e2ac7,0.9434,0.0549754491,no_connective,P1_P2,false,An argument for putting people to death is so that they can never escape and kill again.
481,7eb0bef1ae4e376bc06a3abe884d97fb,0.94275,0.0948907266,so,QR,false,"Sometimes, the only way to deal with certain criminals is to end their life, simply because they don't deserve to live."
773,ca660382f242d46bc3171b5ba1826071,0.939,0.0601207119,no_connective,QR,false,the dealth penalty does nothing to help society!
152,2a972aa853e66595aec66fa5f61478f0,0.936,NA,no_connective,P1_P2,true,"Calli, much of the old testament law was put asunder when Christ died on the cross."
732,bc80ed20d3ca92e9621ca7b85d412f81,0.936,0.0496856787,no_connective,P1_P2,false,The death penalty is arbitrary.
271,47f01dc5ca34d62fc5f390fecde48232,0.9354,0.0926191125,first,P1_P2,false,"First, we must choose to use executions because they may save innocent life."
458,77dd06d159b1ae857a208048329936ec,0.935,0.0848528137,but,QR,false,But as per usual you have just demonstrated that you are filled with hate for another (perhaps more deserving) segment of humanity.
