,ItemId,GoodSliderMean,GoodSliderDev,Connective.x,PairType.x,ResponseInitial.x,Phrase.x
45,07d44327dba6636e0a6747d4a8a1d2d7,1,NA,but,P1_P2,false,But yes I reject the way speculations presented as facts by the evolutionary establishment.
393,50c3925340bede3080f6118d56383aaf,1,NA,so,P1_P2,false,So I believe in evolution.
815,a9291ce9fb31889beeef4a6ee9698f75,1,NA,first,QR,false,First a prediction is made from an hypothesis of some observation that must be true if the hypothesis is correct.
861,b46b4cfb8c4eb62c9d012765e2546ca6,1,0,no_connective,QR,false,Natural selection occures frequently.
727,98310bb4c7353388abedee9649706d3a,0.9906666667,0.0161658075,if,QR,false,"If you want real evidence for the theory of evolution, you need to look at the fossil record for links between species."
850,b22fe3cc3136d903a73cf353c964e7cf,0.97125,0.0480234318,no_connective,QR,false,We didn't evolve from apes.
420,54fa6149f45da9e2d26810fa46e17325,0.9756666667,0.0231156513,no_connective,QR,true,My point was that Darwin's idea of gradualism-only for the evolutionary development of new characteristics has been shown to be wrong.
878,b76162b5f64c6873cc12048112f5b4ed,1,0,if,QR,false,"If it were possible to prove the Earth were only a few thousand years old, it would be strong evidence against evolution and all of geology."
1149,e9dce3eebea91055ae18cb560adfae22,0.9505,0.0700035713,no_connective,QR,false,Bacteria lack minds.
469,60f4c297807fa2e931d5a64d6701ccdc,0.9655,0.069,first,P1_P2,false,"Firstly man didn't evolve from monkeys, ever."
1080,dcfec430d4aefcc50bacbaa1bd87bb55,0.94,0.1039230485,so,QR,true,Something that happened thousands of years ago cannot be ovserved by science.
920,bec61c1aedb1ed7e5f640265680df543,0.96325,0.0419871012,so,P1_P2,false,"So yes, I believe that God created the world, but I believe his tool was evolution."
344,47bb36855a8e20bbe44bec907babf4dd,0.927,NA,so,QR,true,"So Noah entered the ark when he was 600 y, 2 mo., 7 days and he left the ark when he was 601 y, 2 mo., 27 days."
521,6d9e14965553b8a2a45c27ea3d1a50bb,0.9723333333,0.0479200723,first,P1_P2,true,"First of all, every theory in science is methodologically atheistic, but no theory can ever falsify the existence of God."
162,1f659cc90cc2a665c46fa349f0d8efb7,0.934,0.0113137085,if,QR,true,"If scientific evidence casting doubt on the validity of Darwinism did in fact exist, it is doubtful that it would be accepted or even acknowledged."
468,6056b4ce02ba3fb86a50e1e69373375d,0.9425,0.1103826677,first,P1_P2,true,"First of all, humans did not evolve from monkeys!"
1063,da7bf343ec6cc99c2828e8a4358e51f9,0.946,0.0587934237,no_connective,QR,true,"Walking-fish: I see 3 things that contribute to the rise of creationism: 1) lack of vigilence about separating church & state 2) lack of good public education (esp in the sciences) 3) extreme poverty where people turn to fanatical religion for a sense of hope In America our declining public education system, which some politicians want to privatize, and widening gap between rich & poor is making more & more people susceptible to the sophisms of very clever creationist pundits."
230,2f4dac0bbe686e21ca57da36fe8837b2,0.948,0.0735391052,no_connective,P1_P2,false,We need to teach our children science.
1115,e38e06b36f783d9aca7e6ce0797b5864,0.9433333333,0.0981495458,if,QR,true,"If, as I believe Christian scientists are obliged to maintain, God anticipated Darwin and the evolution of the species etc. is part of his ""plan"", he must also have anticipated Newton, Einstein, Heisenberg, etc. etc."
65,0d96b3b50b3fddecfa445d03e1565286,0.93075,0.0733683628,no_connective,P1_P2,false,The tale of creation is just a myth similar to other creationist myths and legends.
1197,f44b85da2a5f609598378a4a6e95d883,0.9293333333,0.1223982571,no_connective,QR,false,Science is controlled by godless naturalists.
485,63ab9fdb9c709f9093f24f20d1b7903f,0.9516666667,0.075221894,no_connective,QR,true,Creationists have to pretty much reject most of science.
157,1f398ce559753f961862c06b6528943e,0.94,0.0945039682,but,QR,false,"But, because religion deals with more than science ever can, it should be deemed the greater of the two."
405,524663305458b4341fae95e1f8eb90f6,0.9455,0.0563885331,no_connective,QR,false,Creationism is so short sighted.
3,0124ee44f2aeb01f5a787385c187a1c0,0.92475,0.0790627388,if,QR,true,"If ""Mutations are rare"" and ""Mutations are usually not beneficial"" are limts, then any type of evolution, speciation or otherwise, would be impossible."
320,41f9f8ac52c2fc012c5d6424abf58c16,0.959,0.0650461375,first,QR,false,"First of all, atheism and evolution are not the same thing, nor is evolution diametrically opposed to theism in general."
694,910427276e329d1800cc04ad44432430,0.9493333333,0.0817700026,no_connective,QR,false,A literal view of the Bible and evolution do not mix.
818,aa5ac0698a12d3e1db64a4191681a8f4,0.93675,0.0465,if,QR,false,"If a scientist has so much faith in the truth of his hypothesis that he ignores gaping holes in the test results (if he is ""blinded by faith"", as it were), he would be discovered and revealed by his collegues."
971,c567e9e3b9ac22aad41a49c06caf551a,0.935,0.0943398113,so,P1_P2,true,"Some claim, that Darwin's Evolution theory is an imaginary fairytale as others claim that Cathlic Genisis is a make-belive pack of lies."
276,3a10dc548c92a50267709117af35792d,0.9135,0.0486792221,no_connective,QR,true,"The same old excuse used by creationist, ""But it is only a theory..."" A scientific theory is much more than just a guess."
