,ItemId,GoodSliderMean,GoodSliderDev,Connective.x,PairType.x,ResponseInitial.x,Phrase.x
1299,c6468528a79710c60f1977feb383c7d3,0.9448333333,0.0845468312,no_connective,QR,false,69% of adults favor stricter gun-control laws.
1105,a795fa5f17c7d1da2635206be3a72d8b,0.95225,0.0915437054,no_connective,P1_P2,false,"Making another anti-gun law is like spitting in the faces of the victims of crime, ""We could'nt protect you last time but we're gonna make sure you can't protect yourself next time"" That's what they are really saying."
658,660c1b7785c46e1c1a543c9ea2a77420,0.9856,0.0209117192,but,P1_P2,false,"But there was an even more serious rub for anti-federalists: Congress can create a standing army and then completely disarm the state militias simply by refusing to exercise its exclusive power to arm, train, and discipline them: ""Let me here call your attention to that part which gives the Congress power 'to provide for organizing, arming, and disciplining the militia, and for governing such part of them as may be employed in the service of the United States  reserving to the states, respectively, the appointment of the officers, and the authority of training the militia according to the discipline prescribed by Congress.'"
1363,d257651b4d437cb870e760027166f905,0.9362857143,0.0675912082,but,QR,true,But guns were made specifically to kill people.
152,17b094c23f4528b54420c60e02cd3823,0.9336666667,0.0603517467,so,QR,false,So do you still defend the 2nd amendment?
876,86359e5b17dca443c990a956fcd920bb,0.9315714286,0.0985035653,if,P1_P2,true,If you ban guns crime rates will not decrease.
464,44f06b3e6d086b2fb4b508238dbb61d4,0.918,0.113137085,first,QR,true,"First let me start off by saying how I feel this is just a cheap tactic designed to try and change the direction of this discussion, brought up simply because you couldn't respond any other way to my statement."
46,07be59f2a36c4b7b398e15508e7ccd45,0.9158333333,0.0815730756,but,QR,false,"But to hold that the Second Amendment limits the federal government to regulations concerning only weapons which can be classed as antiques or curiosities,-- almost any other might bear some reasonable relationship to the preservation or efficiency of a well regulated militia unit of the present day,-- is in effect to hold that the limitation of the Second Amendment is absolute."
324,318fce77804b1445cceafe4b1bc4c852,0.9148,0.0507710547,if,QR,false,"If the citizens have these arms in their hands, they are prepared in the best possible manner to repel any encroachments upon their rights by those in authority."""
906,8b1f2ed15bee051bdc8ac3c59354adbf,0.9403333333,0.0804135146,no_connective,QR,true,I highly disagree with this argument.
1327,cb7b61ebb0332d8bc5b906bb1b138274,0.9011666667,0.0892175244,but,QR,false,"But as we have said, the conception of the militia at the time of the Second Amendment's ratification was the body of all citizens capable of military service, who would bring the sorts of lawful weapons that they possessed at home to militia duty."
737,70d754b76f433fb36fb6d1f16189e96e,0.9001428571,0.0933870594,if,P1_P2,false,"If a bad guy wants to carry conceled, as we've said before, he'll do it without asking the government's permission, just like he didn't ask the government for the illegal handgun he's toting."
744,721ad8da94b054424e9887fd9326926e,0.8942,0.1844700518,if,QR,true,"If people with guns are the problem, then anti-gunners like Diane Fienstien, Sarah Brady, and Barbra Grahm are the problem: Anti-gunner Senator Fienstien with a concealed gun: http://www.frazmtn.com/~bwallis/DF_DODO.PDF Sarah Brady who bought a gun and broke her own proposed ""loophole law"": http://www.kentucky.com/mld/kentucky...cs/2909641.htm Please note that Sarah Brady is trying to STOP this exact type of firearm transaction."
158,18a5a3d2ba146d8ec7f514176da29a4b,0.8955,0.0990368618,if,P1_P2,true,"If the gun suit reform cannot be passed without amendments that extend the assault weapon ban and reguulate private sales, we need to urge our lawmakers NOT to pass it."
671,67b66825f9218cf102c284dd4a3966dc,0.887,0.123772641,no_connective,QR,true,"It would appear that rather than question what motivation convinced a seventeen year old to commit several acts of murder and what can be done to tackle such motivations in the future, the Brady Campaign would rather blame the existence of firearms and ignore the existence of the hostile intents possessed by the individuals."
1305,c6bc3ad2cfe888856959e766c8a223a4,0.875,0.140652053,if,QR,true,"If you are carrying on you can't bring up natural rights as he has pointed out that there is no such thing, just human made legal rights, hence if we carry it further, gun control is the same as making pedophilia a crime, restricting cars to those qualified to drive them, making sure that only docters are allowed to perform medicine."
1279,c25b1e47ab1b7fb0e8ad9799b7d21da3,0.8671666667,0.1206936894,no_connective,QR,true,Gun laws do not prevent stupidity.
85,0d96663958b3fadcf8d5725202dfd946,0.8778,0.0695715459,no_connective,QR,true,Only 12% of Americans think our gun laws are too strict.
862,853879cffe16ef0f1f302382d2ffc643,0.88,0.1301921657,no_connective,QR,true,"Look at that sentence again: ""The Courts opinion should not be taken to cast doubt on longstanding prohibitions on the possession of firearms by felons and the mentally ill, or laws forbidding the carrying of firearms in sensitive places such as schools and government buildings, or laws imposing conditions and qualifications on the commercial sale of arms."""
1266,bfa233fb4ec37af0914362d92b154d8b,0.8676,0.091764917,no_connective,QR,false,It does not even have to be a majority... If violent criminals had a fear of getting shot they would think twice before commiting thier crimes.
1566,f4f7820badbff35e37595d7c86b76f01,0.8841666667,0.0741172495,if,QR,true,"If in truth, you do see the possibilty of arms being needed to overthrow a despotic government, then surely you must see the need to NOT usurp the rights of good and honest men, but to only infringe on those that break the law."
1556,f2817ad3e4e3ed59e17a1348b6732140,0.8705,0.10259191,no_connective,QR,true,Nations that have more gun control than the US also have less gun deaths than the US.
917,8c642efa51f648c795b8638f3254c506,0.858,0.1909921464,no_connective,P1_P2,true,"I don't know about other states, but in Oregon one has to be 21 years of age to buy a sidearm or long arm."
462,4441b730acbf21f8ec8b55a7024ba382,0.8695,0.0992789001,if,P1_P2,false,"If a person is desperate enough, no amount of laws will hinder him/her from acquiring a means of murder."
