,ItemId,GoodSliderMean,GoodSliderDev,Connective.x,PairType.x,ResponseInitial.x,Phrase.x
422,449339b755b098d5700966787328e09d,0.9671666667,0.0453978707,but,QR,false,"But that is not really my point my real point is that if we let this happend it will ruin marriage in this country, marriage is a bond between a man and a women and if we let gays marry this country will be ruining that tradition thus making this country more secular then it all ready is."
1420,e3007724fb09fcd40bc314d6dd0749d4,0.93675,0.0766523537,no_connective,P1_P2,true,Marriage is a civil right.
1513,efe0609949d51148b08c820c6bcc5935,0.9212,0.0721609313,no_connective,QR,false,Any one who has voted yes to place these amendments into state constitutions because they have a religious belief that excludes gay people from marriage has also imposed those religious beliefs upon gay people.
248,28527f0dc1670142f808f9b2f47c91b9,0.984,0.022627417,if,QR,false,"If you travel to a state that does not offer civil unions, then your union is not valid there."
1592,fb3eab40f1faa64a51e0fa1a715c2251,0.9244285714,0.0887953774,if,QR,false,"If ""Y"" is bad for reasons independent of X (in the case of child marriage, the fact that it is exploitative and doesn't allow for reasonable consent), those become independent reasons to reject Y that exist independent of affirming X. Thus, the logic by which I affirm the right of gays to marry but reject child marriage is simple: Gay marriage should be allowed as it is a contract that cannot reasonably be withheld from adult americans."
1456,e8e28ac05dec091d0f35d51ebf653d0c,0.9016666667,0.0702614166,first,P1_P2,false,"Firstly, is that there is no need to run a country based on religion, this happened in Saudi Arabia and look at the crime, injustice and autocracy there, quite simply we should run a nation based on what the majority deem to be acceptable, in the case of my country, the UK, gay marriage is acceptable, murder and rape are not."
665,69f688f47688ca87921e54f82d33abb3,0.9155,0.0633429817,but,P1_P2,false,"but at the same time, I want people to understand that right now, ""civil unions"" do NOT entitle all the same rights and priviledges as marriage does."
1464,e9fe29bec34fc47142131810dd4cf002,0.9124,0.1301894773,no_connective,QR,false,"Third, most homosexuals distort (or deny) the scriptures in some fashion or another in order to try to justify their sin."
482,4e560fcaf59f537eb2b7a128a9b01239,0.9062857143,0.1022117317,but,QR,true,"But if gays are allowed to make the decision of who they spend time with, work with, live with, etc; why can they not make the decision about who they marry?"
1100,ac619ff79f04844dfe7fd808d1623ef0,0.9056666667,0.0539060912,no_connective,P1_P2,true,"You obviously missed the point: It appears that no rational purpose exists for limiting marriage in this state to opposite-sex partners And as we all know, there hasn't been a rational reason for limiting marriage."
